Category,Subcategory,Central (not campus specific),Central Title,Seattle,Seattle (link text),Bothell (destination URL),Bothell (link text),Tacoma,Tacoma Title
Finances,Financial Aid,,,http://www.washington.edu/students/osfa/,Financial Aid and Scholarships,http://www.bothell.washington.edu/financialaid,Financial Aid and Scholarships,http://www.tacoma.uw.edu/uwt/financial-aid,Financial Aid and Scholarships
Finances,Financial Aid,https://sdb.admin.washington.edu/students/uwnetid/finaidstatus.asp,Financial Aid Status,,,,,,
Finances,Taxes,https://sdb.admin.washington.edu/sisStudents/uwnetid/irs1098tconsent.aspx,Form 1098-T,,,,,,
Finances,Taxes,http://f2.washington.edu/fm/sfs/tax,Student Tax Information,,,,,,
Finances,Tuition,http://f2.washington.edu/fm/sfs/tuition,Tuition Overview,,,,,,
Student & Campus Life,Housing & Dining,https://www.hfs.washington.edu/olco/Secure/AccountSummary.aspx,Add Funds to Husky Card,,,,,,
Student & Campus Life,Housing & Dining,,,https://www.hfs.washington.edu/dining/,Campus Dining,http://www.uwb.edu/food,Campus Dining,http://www.tacoma.uw.edu/uwt/convenience-store/welcome-0,Campus Dining
Student & Campus Life,Housing & Dining,https://www.hfs.washington.edu/myhfs/ledger.aspx,Check HFS Balance,,,,,,
Student & Campus Life,Housing & Dining,,,https://www.hfs.washington.edu/housing/,Student Housing,http://www.uwb.edu/housing,Student Housing,http://www.tacoma.uw.edu/housing,Housing
Student & Campus Life,Health & Wellness,,,http://www.washington.edu/counseling/,Counseling Center,http://www.uwb.edu/studentservices/counseling,Counseling Services,http://www.tacoma.washington.edu/studentaffairs/SHW/scc_about.cfm,Student Counseling Center
Student & Campus Life,Health & Wellness,,,http://depts.washington.edu/hhpccweb/,Hall Health Center,http://www.uwb.edu/studentservices/health-matters,Student Health Resource,http://www.tacoma.washington.edu/studentaffairs/SHW/shs_healthservices_about.cfm,Student Health Services (SHS)
Student & Campus Life,Health & Wellness,,,http://depts.washington.edu/ima/,Recreational Sports Programs (IMA),http://www.uwb.edu/studentlife/rec-wellness,Recreation and Wellness,http://www.tacoma.washington.edu/studentaffairs/SI/rec_fit_about.cfm,Recreation & Fitness
Student & Campus Life,Health & Wellness,,,http://www.washington.edu/ship/,Student Health Insurance,http://www.uwb.edu/studentservices/insurance,Student Health Insurance,http://www.tacoma.uw.edu/ses/health/insurance,Student Health Insurance
Student & Campus Life,Support Services,,,http://www.washington.edu/admin/dso/uw-resources.html,Disability Resources,http://www.bothell.washington.edu/studentservices/drs,Disability Resources for Students (DRS),http://www.tacoma.washington.edu/studentaffairs/SHW/dss_about.cfm,Disability Support Services (DSS)
Student & Campus Life,Support Services,,,http://www.washington.edu/omad/,Diversity Resources,http://www.uwb.edu/diversity,Diversity Resources,http://www.tacoma.uw.edu/diversity,Diversity Resources
Student & Campus Life,Support Services,,,http://fyp.washington.edu/getting-started-at-the-university-of-washington/,New Student Orientation,http://www.bothell.washington.edu/orientation,Orientation & Transition Programs,http://www.tacoma.washington.edu/studentaffairs/SS/nsp_nso.cfm,New Student Orientation
Student & Campus Life,Support Services,http://depts.washington.edu/qcenter/wordpress/,Q Center,,,,,,
Student & Campus Life,Support Services,http://depts.washington.edu/womenctr/,Women's Center,,,,,,
Student & Campus Life,Support Services,,,http://www.washington.edu/safecampus/,SafeCampus,http://www.washington.edu/safecampus/uwb/,SafeCampus,http://www.washington.edu/safecampus/uwt/,SafeCampus
Student & Campus Life,Support Services,,,http://www.washington.edu/students/saris/,Sexual Assault & Relationship Violence Information Service (SARIS),http://www.uwb.edu/getattachment/admin/procedures/sexualassaultspolicy.pdf,Security & Campus Safety: Sexual Assualts,http://www.tacoma.uw.edu/uwt/administrative-services/campus-safety,Campus Safety & Security
Student & Campus Life,Support Services,,,http://depts.washington.edu/slsuw/,Student Legal Services,,,,
Student & Campus Life,Campus Retail,,,http://hub.washington.edu/,HUB,http://www.uwb.edu/studentservices/ssc,Student Success Center,http://www.tacoma.washington.edu/studentaffairs/SI/rec_fit_lounge.cfm,Dawg House Student Lounge
Student & Campus Life,Campus Retail,,,http://www.bookstore.washington.edu/student_faculty/student_faculty.taf?verba=uwseattle,University Book Store,http://www.bookstore.washington.edu/student_faculty/student_faculty.taf?verba=uwbothell,University Book Store,http://www.bookstore.washington.edu/student_faculty/student_faculty.taf?verba=uwtacoma,University Book Store
Student & Campus Life,Transportation,,,http://www.washington.edu/admin/ada/newada.php,Accessibility Guide,http://www.uwb.edu/getattachment/admin/emergency/mobility.pdf,Mobility Map,http://www.tacoma.washington.edu/studentaffairs/SHW/dss_access.cfm,Accessibility Guide
Student & Campus Life,Transportation,,,http://www.washington.edu/maps/,Campus Map,http://www.uwb.edu/visitors/uw-bothell-map.pdf,Campus Map,http://www.tacoma.uw.edu/campus-map/campus-map,Campus Map
Student & Campus Life,Transportation,,,http://www.washington.edu/facilities/transportation/commuterservices/,Getting to Seattle Campus,https://www.uwb.edu/admin/transportation,Getting to Bothell Campus,http://www.tacoma.uw.edu/getting-campus/getting-campus,Getting to Tacoma Campus
Student & Campus Life,Rules & Regulations,http://www.washington.edu/students/reg/ferpa.html,Family Educational Rights and Privacy Act (FERPA) - Privacy of Student Information,,,,,,
Student & Campus Life,Rules & Regulations,,,https://ap.washington.edu/osi/,Office of Scholarly Integrity (OSI),http://www.uwb.edu/academic/policies/academicconduct/student-guide,Student Guide to Academic Integrity,,
Student & Campus Life,Rules & Regulations,,,http://www.washington.edu/cssc/student-conduct-overview/student-code-of-conduct/,Student Conduct Code,http://www.uwb.edu/studentservices/studentconduct,Student Conduct and Responsibility,http://www.tacoma.washington.edu/studentaffairs/SI/conduct_about.cfm,Student Conduct
Tools & Software,Teaching & Learning Tools,http://canvas.uw.edu/,Canvas LMS,,,,,,
Tools & Software,Teaching & Learning Tools,https://catalyst.uw.edu/,Catalyst Web Tools,,,,,,
Tools & Software,Teaching & Learning Tools,https://notify.uw.edu/,Notify.UW,,,,,,
Tools & Software,Teaching & Learning Tools,,,http://spacescout.uw.edu,SpaceScout Study Space Finder,,,http://spacescout.uw.edu,SpaceScout Study Space Finder
Tools & Software,Teaching & Learning Tools,http://www.washington.edu/itconnect/wares/uware/tableau-software/,Tableau Data Analysis Software,,,,,,
Tools & Software,Teaching & Learning Tools,https://uw.tegrity.com/,Tegrity,,,,,,
Tools & Software,Teaching & Learning Tools,https://uw.panopto.com/,Panopto,,,,,,
Tools & Software,Email & UW NetID,https://mail.google.com/a/uw.edu,Gmail,,,,,,
Tools & Software,Email & UW NetID,http://alpine.washington.edu/,Alpine Mail,,,,,,
Tools & Software,Email & UW NetID,https://uwnetid.washington.edu/manage/?forward,Email Forwarding,,,,,,
Tools & Software,Email & UW NetID,https://uwnetid.washington.edu/manage/,Manage UW NetID Account,,,,,,
Tools & Software,Directory,,,http://www.washington.edu/home/directories.html,UW Directory,http://www.uwb.edu/directory,Bothell Faculty and Staff Directory,http://www.washington.edu/home/directories.html,UW Directory
Events & Activities,Events,,,http://www.washington.edu/calendar/,Campus Event Calendar,https://www.uwb.edu/calendar,Campus Event Calendar,http://www.tacoma.uw.edu/calendar/calendar,Campus Event Calendar
Events & Activities,Events,,,http://depts.washington.edu/thehub/hub-events/today-in-the-hub/,HUB Events,http://www.uwb.edu/studentlife/events,Student Life Event Calendar,,
Events & Activities,Student Clubs & Organizations,,,http://depts.washington.edu/sao/rso-directory/,Registered Student Organizations (RSO) Directory,http://www.bothell.washington.edu/studentlife/clubs/directory,Club Directory,https://dawgden.tacoma.uw.edu/Organizations,UW Tacoma Clubs & Organizations
Events & Activities,Stay Connected,,,http://www.washington.edu/news/,Campus News,http://www.uwb.edu/news,Campus News,http://www.tacoma.uw.edu/news/news-information,Campus News
Events & Activities,Stay Connected,,,http://www.facebook.com/UofWA,UW Facebook page,http://www.facebook.com/uwbothell,UW Bothell Facebook page,http://www.facebook.com/uwtacoma,UW Tacoma Facebook page
Events & Activities,Stay Connected,,,http://www.youtube.com/user/uwhuskies,UW YouTube Channel,http://www.youtube.com/user/uwbothell,UW Bothell YouTube Channel,http://www.youtube.com/user/uwTacomaAdvancement,UW Tacoma YouTube Channel
Events & Activities,Stay Connected,,,http://instagram.com/uofwa,UW Instagram,http://instagram.com/UW_BOTHELL,UW Bothell Instagram,,
Events & Activities,Stay Connected,,,http://twitter.com/UW,UW Twitter,http://twitter.com/UWBothell,UW Bothell Twitter,,
Events & Activities,Stay Connected,,,http://www.linkedin.com/company/university-of-washington,UW LinkedIn,https://www.linkedin.com/groups/University-Washington-Bothell-92858?home=&gid=92858,UW Bothell Linkden,,
Employment,,,,http://careers.washington.edu/,Career Center,http://www.bothell.washington.edu/careers,Career Services,http://www.tacoma.washington.edu/studentaffairs/ss/cde_about.cfm,Career Development
Employment,,https://www.washington.edu/ess/,Employee Self-Service (ESS),,,,,,
Employment,,https://washington-csm.symplicity.com/students/index.php,Husky Jobs,,,,,,
Employment,,http://www.lib.washington.edu/about/employment/students,Student Employment in the Libraries,,,,,,
